lower;upper;mean
26.38224220275879;29.08840560913086;27.844799041748047
26.739545822143555;29.506881713867188;28.256561279296875
26.91775894165039;29.74443244934082;28.466821670532227
26.716020584106445;29.5015926361084;28.212421417236328
27.423091888427734;30.102069854736328;28.864627838134766
27.080537796020508;29.652557373046875;28.464859008789062
27.270109176635742;29.86098861694336;28.669837951660156
27.384973526000977;29.96950912475586;28.774568557739258
28.181730270385742;30.770307540893555;29.602792739868164
28.2292423248291;30.84977149963379;29.68539810180664
29.235885620117188;31.95220184326172;30.780826568603516
29.697439193725586;32.42704391479492;31.26331329345703
30.392200469970703;33.136192321777344;31.992252349853516
30.72690773010254;33.43317794799805;32.320125579833984
30.86268424987793;33.514625549316406;32.41343307495117
31.89630126953125;34.42817687988281;33.42756652832031
33.032928466796875;35.53783416748047;34.599639892578125
33.85811233520508;36.42857360839844;35.51173400878906
34.0488395690918;36.70932388305664;35.75614547729492
35.540199279785156;38.25102996826172;37.311248779296875
32.93923568725586;35.426639556884766;34.44340515136719
32.134613037109375;34.31538772583008;33.41276550292969
32.70454788208008;34.58940505981445;33.7977409362793
35.12396240234375;37.009803771972656;36.38735580444336
33.72308349609375;35.845706939697266;35.220497131347656
33.888607025146484;36.47372817993164;35.5450553894043
32.8294677734375;35.332916259765625;34.323490142822266
32.967079162597656;35.11308288574219;34.2354736328125
33.7866325378418;35.7607307434082;35.10233688354492
34.22883605957031;36.3823356628418;35.634307861328125
34.08505630493164;36.353084564208984;35.59115982055664
34.21470260620117;36.608524322509766;35.76930618286133
34.20149230957031;36.55706024169922;35.696781158447266
34.24009704589844;36.44484329223633;35.65791320800781
35.37855529785156;37.57329177856445;36.858150482177734
35.71419143676758;37.985206604003906;37.24843215942383
37.605125427246094;40.05332946777344;39.348167419433594
38.67255783081055;41.415626525878906;40.6389274597168
38.59687423706055;41.42067337036133;40.567230224609375
39.70546340942383;42.472904205322266;41.68009948730469
39.55957794189453;42.11001968383789;41.31861877441406
40.583290100097656;42.79374694824219;42.19989013671875
41.12446975708008;43.3397102355957;42.803184509277344
41.40675735473633;43.646087646484375;43.06989669799805
41.61128616333008;43.832828521728516;43.296836853027344
42.463348388671875;44.74897003173828;44.18983840942383
44.04963684082031;46.35829544067383;45.88827896118164
43.9588623046875;46.35712814331055;45.84541702270508
43.366546630859375;45.797916412353516;45.156394958496094
45.35184860229492;47.72843933105469;47.172969818115234
44.94154357910156;47.08794021606445;46.60242462158203
44.08333206176758;46.03485870361328;45.574249267578125
40.36567687988281;42.24298095703125;41.54293441772461
41.204410552978516;42.39231872558594;41.94160842895508
41.637027740478516;42.42662811279297;42.33503723144531
43.575294494628906;45.01834487915039;44.9597282409668
43.34294128417969;45.531761169433594;45.215885162353516
43.443763732910156;46.20669174194336;45.513240814208984
44.97088623046875;47.71180725097656;47.062164306640625
47.295166015625;49.95939254760742;49.42853546142578
47.33183288574219;49.947391510009766;49.46334457397461
48.8964958190918;51.712684631347656;51.151302337646484
48.83488845825195;51.589691162109375;51.02323913574219
50.172611236572266;52.56584930419922;52.18196487426758
51.22584533691406;53.58535385131836;53.34859848022461
52.45054244995117;54.905555725097656;54.65076446533203
53.64842987060547;56.14997100830078;55.96678924560547
54.711463928222656;57.41470718383789;57.176631927490234
57.376792907714844;60.201358795166016;60.07667541503906
61.07848358154297;64.18998718261719;64.19844818115234
64.38983154296875;68.0016098022461;67.95841217041016
59.0003662109375;62.51166534423828;61.99848556518555
62.382232666015625;65.2402114868164;65.04113006591797
68.22370910644531;69.73773193359375;70.63587188720703
69.51969146728516;71.49359130859375;72.11679077148438
67.71138000488281;70.65998840332031;71.0311508178711
65.35857391357422;68.56591796875;68.32017517089844
67.86408996582031;68.92293548583984;69.70919036865234
73.35073852539062;73.57342529296875;75.25045013427734
74.85539245605469;76.5660400390625;77.70584869384766
78.17496490478516;81.58650970458984;82.16191864013672
81.83252716064453;86.16620635986328;86.5245361328125
84.43236541748047;88.81716918945312;89.12622833251953
87.3861083984375;91.26468658447266;91.9195327758789
103.76534271240234;107.81632232666016;109.08304595947266
98.27075958251953;103.28306579589844;103.87040710449219
93.40497589111328;98.24626159667969;98.5255126953125
84.17700958251953;84.822509765625;86.60089874267578
85.64547729492188;80.18856811523438;84.52730560302734
88.88121795654297;80.34937286376953;86.89366149902344
92.33059692382812;87.40802764892578;92.49658203125
95.34040832519531;95.42495727539062;98.27886962890625
85.39385223388672;89.02582550048828;89.68614196777344
86.6852035522461;89.38433837890625;90.27971649169922
87.72879028320312;87.00624084472656;90.077392578125
92.03387451171875;90.19683837890625;93.47882080078125
86.9515380859375;85.94149780273438;88.68272399902344
85.25642395019531;85.41102600097656;87.33922576904297
85.90054321289062;84.56892395019531;87.58380126953125
86.49248504638672;85.12434387207031;87.97970581054688
85.13815307617188;84.47532653808594;86.91755676269531
76.28995513916016;76.17050170898438;77.73716735839844
68.093017578125;65.60740661621094;67.7129898071289
67.77894592285156;63.01436996459961;66.31067657470703
71.449462890625;66.15798950195312;70.12154388427734
77.38939666748047;74.80925750732422;78.18978118896484
70.87305450439453;73.30938720703125;74.09461975097656
70.12200927734375;74.00189208984375;73.8646469116211
72.9555892944336;75.37013244628906;76.08622741699219
70.18295288085938;71.16673278808594;71.98739624023438
70.61029052734375;70.8011703491211;72.08493041992188
71.90259552001953;71.97120666503906;73.58956146240234
72.57559204101562;72.73383331298828;74.26318359375
76.48027038574219;77.5071029663086;78.98778533935547
85.05201721191406;88.32176971435547;89.30738830566406
86.51204681396484;91.20611572265625;91.53379821777344
87.10456085205078;92.4191665649414;92.4095458984375
82.28155517578125;86.63175964355469;86.71675109863281
82.956787109375;83.42928314208984;85.11339569091797
88.93177032470703;86.09369659423828;90.08126068115234
90.99491882324219;89.31402587890625;92.65001678466797
89.3541488647461;89.97323608398438;92.16271209716797
84.62458801269531;86.40943908691406;87.74463653564453
89.23388671875;89.67210388183594;91.87545776367188
88.9017333984375;88.129150390625;91.0085220336914
91.91181182861328;91.85982513427734;94.34740447998047
88.8758773803711;89.53338623046875;91.73526000976562
87.04231262207031;87.74929809570312;89.51217651367188
87.24713134765625;86.38554382324219;89.07965850830078
91.63027954101562;90.36482238769531;93.59913635253906
96.70179748535156;96.41876983642578;99.34879302978516
94.94650268554688;97.00131225585938;98.81641387939453
97.56398010253906;100.58917999267578;102.03594207763672
106.39395904541016;108.9121322631836;111.17989349365234
115.99351501464844;119.28218841552734;121.4387435913086
118.42852020263672;123.80767059326172;125.17768096923828
123.2078857421875;129.2881622314453;130.25132751464844
125.08096313476562;128.98541259765625;131.6128387451172
135.8073272705078;137.49447631835938;141.3505401611328
160.5440673828125;162.7344207763672;167.64645385742188
152.91888427734375;159.2601776123047;161.7019500732422
126.38710021972656;134.126220703125;133.62806701660156
107.26152038574219;103.54389190673828;107.1275863647461
111.32591247558594;91.46168518066406;102.70697784423828
105.62397003173828;79.23045349121094;95.96500396728516
85.13323211669922;64.10875701904297;78.05093383789062
88.09088134765625;76.52006530761719;85.2066421508789
91.0801773071289;85.05169677734375;90.93706512451172
93.31208801269531;93.29071807861328;95.63672637939453
82.22638702392578;87.52754211425781;87.50740051269531
80.45447540283203;85.01364135742188;84.09337615966797
80.17727661132812;78.46429443359375;81.21443176269531
77.6684799194336;73.72960662841797;77.17388153076172
83.30142211914062;79.49052429199219;83.5292739868164
81.9899673461914;80.7562484741211;83.55912780761719
75.66227722167969;76.56269073486328;77.87944030761719
76.77638244628906;77.79351043701172;79.05951690673828
73.1574478149414;72.734619140625;74.68008422851562
75.6064224243164;74.18331909179688;76.51585388183594
76.97584533691406;76.28353881835938;78.51544189453125
84.60960388183594;85.80986022949219;87.52865600585938
85.06340789794922;88.27484893798828;89.2507553100586
84.40982055664062;89.06742858886719;89.28343200683594
84.4529037475586;88.0751953125;88.71340942382812
86.8943099975586;88.18148803710938;89.87803649902344
