lower;upper;mean
92.0023422241211;95.22061157226562;96.50476837158203
93.32896423339844;96.84903717041016;97.75154113769531
96.28102111816406;100.2442626953125;100.40408325195312
97.78131103515625;102.3329849243164;102.27703094482422
81.8528060913086;86.47967529296875;87.45085906982422
96.33148956298828;100.3543930053711;100.46199035644531
110.23503875732422;114.74752807617188;115.54493713378906
114.84569549560547;121.59224700927734;120.85354614257812
106.33216094970703;112.07453155517578;112.6556625366211
101.15166473388672;106.72295379638672;109.12138366699219
106.25835418701172;110.06568908691406;111.42593383789062
105.04581451416016;108.75630950927734;109.84916687011719
102.38690948486328;106.29059600830078;107.03828430175781
94.27373504638672;98.06782531738281;99.28974151611328
101.30326843261719;105.24078369140625;105.89482116699219
108.47805786132812;113.04830932617188;113.6169204711914
104.23865509033203;109.51500701904297;109.88886260986328
103.86050415039062;108.52201080322266;109.55838775634766
101.15184020996094;105.74931335449219;107.77307891845703
104.40067291259766;108.64684295654297;109.53997802734375
109.0320053100586;113.24207305908203;113.88765716552734
115.54918670654297;120.42628479003906;121.2938003540039
113.1186752319336;118.24082946777344;119.46959686279297
112.93421936035156;117.9142074584961;119.63723754882812
112.39762115478516;116.85834503173828;118.91800689697266
117.16389465332031;121.68767547607422;123.09104919433594
123.79122924804688;128.30174255371094;129.4830322265625
124.99994659423828;129.98056030273438;131.4406280517578
124.72909545898438;129.63424682617188;131.52513122558594
123.45283508300781;128.09957885742188;130.59117126464844
126.10482788085938;130.4208984375;132.56280517578125
132.42172241210938;136.78709411621094;138.60108947753906
127.07190704345703;131.63160705566406;133.8124542236328
128.72694396972656;132.90121459960938;134.98785400390625
125.57223510742188;129.48208618164062;132.14495849609375
126.38069915771484;130.28125;132.3496551513672
122.42886352539062;125.68916320800781;127.723876953125
123.21456909179688;127.02845764160156;129.0446014404297
113.89881896972656;117.20478057861328;119.40367126464844
104.54866027832031;107.56583404541016;109.43497467041016
100.4590072631836;102.71778869628906;104.4422836303711
94.69120788574219;97.50096130371094;99.04035186767578
88.88402557373047;91.46980285644531;92.15338897705078
81.06222534179688;84.12410736083984;84.73213195800781
78.24388885498047;81.54874420166016;82.01911926269531
76.84071350097656;80.4344253540039;80.38419342041016
72.05872344970703;76.10115814208984;75.92151641845703
67.58031463623047;71.58045959472656;71.22260284423828
61.94477081298828;65.79985809326172;66.10592651367188
64.1847152709961;68.05703735351562;67.61702728271484
63.49586486816406;67.78837585449219;67.08184051513672
67.02742767333984;71.90091705322266;70.6677474975586
64.08629608154297;69.0365219116211;68.50259399414062
61.361976623535156;66.21758270263672;65.84969329833984
61.28033447265625;65.57887268066406;65.19664764404297
59.36659622192383;63.723087310791016;63.507850646972656
53.49835968017578;57.72185516357422;57.43056106567383
53.71500778198242;57.7213020324707;57.32931137084961
55.86777877807617;60.139381408691406;59.643096923828125
56.10164260864258;60.89113235473633;59.65596389770508
