lower;upper;mean
96.90747833251953;97.35907745361328;96.66673278808594
97.75172424316406;98.23884582519531;97.71185302734375
102.2789306640625;103.04491424560547;102.35774993896484
105.22894287109375;106.95635986328125;106.1598892211914
80.41773223876953;80.4377212524414;79.0309829711914
109.54930114746094;113.10099792480469;112.90989685058594
120.84188842773438;125.24102783203125;124.65132904052734
117.0169448852539;120.7703857421875;119.45392608642578
108.51107788085938;110.39151763916016;109.00873565673828
107.4482192993164;109.45442199707031;109.1977767944336
114.11307525634766;115.63496398925781;115.50499725341797
111.1540298461914;111.77446746826172;111.05591583251953
107.15055084228516;108.1306381225586;107.17471313476562
97.43597412109375;97.68156433105469;96.74080657958984
110.93072509765625;113.08109283447266;113.11886596679688
117.96903228759766;120.5995101928711;120.0609130859375
106.1727523803711;107.957763671875;106.68629455566406
110.52213287353516;112.85894775390625;112.00225067138672
107.13812255859375;109.22185516357422;108.6517105102539
110.18592834472656;111.96388244628906;111.48979949951172
118.55525207519531;120.72024536132812;120.18033599853516
126.41087341308594;129.8657989501953;129.7641143798828
119.5743408203125;121.96007537841797;121.0672378540039
121.1829833984375;124.09912109375;123.65874481201172
120.40589141845703;122.58952331542969;122.1474609375
126.42181396484375;128.90016174316406;128.68226623535156
135.8087615966797;138.7259063720703;138.39291381835938
133.87806701660156;136.9212646484375;136.37535095214844
133.39895629882812;136.29046630859375;135.69642639160156
133.18505859375;135.6138458251953;135.3171844482422
136.28515625;138.68887329101562;138.4747314453125
145.41705322265625;148.2469482421875;148.08335876464844
133.15602111816406;134.73060607910156;133.73687744140625
137.96444702148438;140.68296813964844;140.02609252929688
132.27049255371094;133.9413604736328;133.05850219726562
132.90199279785156;134.6978302001953;134.0891876220703
128.87718200683594;129.60203552246094;128.49234008789062
131.5673370361328;133.4046173095703;133.05673217773438
117.21443176269531;117.07858276367188;115.75858306884766
104.68658447265625;104.28203582763672;102.91371154785156
104.0246353149414;103.5128173828125;102.58525085449219
96.62889099121094;95.50724029541016;94.68470001220703
90.19498443603516;89.03280639648438;87.76884460449219
82.76901245117188;81.90473175048828;80.80296325683594
81.03602600097656;80.7907485961914;80.18413543701172
80.68938446044922;80.72209930419922;80.00140380859375
74.15711212158203;74.1235122680664;73.25126647949219
69.70431518554688;69.89342498779297;68.96659851074219
63.7161865234375;63.715789794921875;62.960350036621094
68.2317123413086;68.92845916748047;68.6089859008789
67.12430572509766;67.89054870605469;67.13756561279297
71.51790618896484;73.38982391357422;72.9301986694336
67.33234405517578;68.74553680419922;67.95145416259766
63.557334899902344;65.10391235351562;64.43750762939453
65.3267593383789;66.56627655029297;66.12371063232422
62.21287536621094;63.057762145996094;62.52583312988281
54.143287658691406;54.24478530883789;53.28507614135742
57.508785247802734;58.34220504760742;57.8354606628418
59.92708206176758;61.21177291870117;60.79290008544922
58.78327560424805;59.98054504394531;59.307350158691406
