Run;PICP_LSTM;MPIW_LSTM;PICP_MLP;MPIW_MLP
1.0;0.22424242424242424;3.096;0.16363636363636364;3.039
2.0;0.3939393939393939;4.624;0.12727272727272726;1.318
3.0;0.3151515151515151;2.769;0.16363636363636364;2.627
4.0;0.19393939393939394;0.856;0.42424242424242425;5.071
5.0;0.09090909090909091;0.719;0.3090909090909091;5.092
6.0;0.8848484848484849;16.926;0.24242424242424243;2.778
7.0;0.23030303030303031;1.332;0.12121212121212122;-0.4
8.0;0.49696969696969695;5.71;0.06666666666666667;2.113
9.0;0.6606060606060606;7.713;0.40606060606060607;5.523
10.0;0.46060606060606063;4.091;0.14545454545454545;0.907
